"","stratum.id","LE_white_lcl","LE_white_med","LE_white_ucl","LE_white_mean","LE_black_lcl","LE_black_med","LE_black_ucl","LE_black_mean","LE_wbgap_lcl","LE_wbgap_med","LE_wbgap_ucl","LE_wbgap_mean"
"25","Alabama.1981.Female",78.2657906369851,78.4222543399861,78.5841081908238,78.4249837742385,73.020317882251,73.3014995846738,73.5802381881735,73.3014152008956,4.81072461298171,5.11981829251283,5.43664087312635,5.12356857334293
"26","Alabama.1981.Male",69.8343582760299,69.9939880548043,70.1450285293896,69.9936066303726,63.6623947467527,63.9603462651894,64.2530818283639,63.963594132325,5.70834184842356,6.02379364468296,6.3569407028652,6.03001249804764
"27","Alabama.1982.Female",78.3970429587975,78.5570490064558,78.7235821310438,78.5601893102122,73.2887192413139,73.554632300142,73.8410314482273,73.5570155781211,4.68015939710405,4.99791912596089,5.32121206099359,5.0031737320911
"28","Alabama.1982.Male",70.1080572682297,70.2560442797193,70.3983944092074,70.2567488591279,64.0675472843012,64.347440373458,64.623841991566,64.3501970927863,5.59906470511547,5.91074397089055,6.22139328544579,5.90655176634159
"29","Alabama.1983.Female",78.4834084581583,78.6370190507703,78.7989534112777,78.6382571242468,73.3336328126878,73.5808656749717,73.8868215133831,73.5848316776618,4.71022774225085,5.05632795067337,5.34569457915187,5.05342544658501
"30","Alabama.1983.Male",70.3179379441563,70.4713642643943,70.6105151230689,70.4688876990011,64.3290093011214,64.6084256549926,64.8850918296968,64.6082654808426,5.55595617454372,5.86203693014621,6.1697928077106,5.86062221815847
"31","Alabama.1984.Female",78.4051387020802,78.5502220046502,78.6991925310913,78.5506224315166,73.2231451766605,73.508377543087,73.7842647904001,73.5106887822036,4.71938141018205,5.0374902197303,5.36124573454395,5.03993364931304
"32","Alabama.1984.Male",70.4317854847362,70.5830695277571,70.7387355742404,70.5832784327646,64.4051955259555,64.6807251398881,64.9755959580374,64.6848511512469,5.5609803203281,5.90854272478894,6.21022098780472,5.89842728151774
"33","Alabama.1985.Female",78.3578942604524,78.4997566786012,78.6517938046339,78.5016689817497,73.2275058648762,73.4945210803096,73.7801037468192,73.4941316847419,4.67397616742717,5.01294530724235,5.3134207138906,5.00753729700782
"34","Alabama.1985.Male",70.478593669818,70.6205674267069,70.7693033191282,70.6217010743547,64.3874178199088,64.6676627691171,64.9599613952902,64.6705729294673,5.63613345831733,5.95157874714278,6.26924153158657,5.9511281448874
"35","Alabama.1986.Female",78.4846641427684,78.6341257893705,78.786685148735,78.6342186285831,73.3171871779082,73.5707496592563,73.8344880265077,73.569114858962,4.75512442768955,5.05489639014286,5.38372190974625,5.06510376962111
"36","Alabama.1986.Male",70.5589688281877,70.7085084627436,70.854072912675,70.7087419869777,64.4675710714575,64.73702634817,65.0276567895839,64.7333180822528,5.64750848247191,5.98252108642662,6.28044665905268,5.97542390472484
"37","Alabama.1987.Female",78.5992952851216,78.7462403292517,78.8946247085679,78.7482622607325,73.4137697366443,73.6811039173861,73.9529584687431,73.6803547295898,4.75278016851864,5.06597158706997,5.37570623076558,5.06790753114269
"38","Alabama.1987.Male",70.69617312174,70.8543823772563,70.9931493102175,70.8519676955464,64.5068173923622,64.7752446187717,65.032549420662,64.7721973975726,5.78778468992153,6.07747820940444,6.38940559141441,6.07977029797376
"39","Alabama.1988.Female",78.4887571905403,78.6371398631149,78.7850077898834,78.6369735947743,73.4830488083489,73.7459240549996,74.0016140562865,73.7424300981114,4.61057451156766,4.88733193071207,5.20692276595865,4.89454349666298
"40","Alabama.1988.Male",70.8097138550046,70.9589458150056,71.1045065866475,70.9582414961549,64.3480630962475,64.6191480815572,64.8834473332988,64.6160495811868,6.01750841963862,6.34516797587652,6.64676361228454,6.34219191496802
"41","Alabama.1989.Female",78.633799935606,78.7719430343889,78.914226113603,78.7717869487329,73.561748979472,73.8214509244479,74.078578084175,73.8209413172996,4.65687178715058,4.95244745766124,5.25277694203265,4.95084563143321
"42","Alabama.1989.Male",70.9351821709002,71.0822121761002,71.238515855016,71.0840664867374,64.2662026265907,64.5588852532522,64.8418770355536,64.5577533898538,6.2082204580539,6.52308233022457,6.84899571110641,6.5263130968836
"43","Alabama.1990.Female",78.777246821448,78.9134629664052,79.0774073142866,78.9150102815821,73.6756053560769,73.961329591679,74.2153159479855,73.9583172184432,4.65682088266172,4.95038506893155,5.26346724372508,4.95669306313888
"44","Alabama.1990.Male",71.1077960655055,71.2486950436738,71.4045252662773,71.2525528925888,64.3012464226976,64.5714563479305,64.8590829216558,64.5705266763025,6.34934945123581,6.68161745973188,6.98119699665803,6.68202621628627
"45","Alabama.1991.Female",78.8582660357117,78.9938722228035,79.1455683858415,78.9960429906711,73.8484896162523,74.1041145494918,74.3508154201502,74.1021681650538,4.61554213237515,4.89106619484224,5.18416173239249,4.89387482561733
"46","Alabama.1991.Male",71.2664367296831,71.416777644522,71.5693204349262,71.4173225791919,64.3146053307515,64.5810163912561,64.8762919578637,64.5841566204006,6.49410202382836,6.83624144442138,7.14559164206462,6.83316595879138
"47","Alabama.1992.Female",79.033033298937,79.1696653351032,79.3295036880758,79.1695853204497,74.014753392123,74.2819371962285,74.5461858455827,74.2796230635847,4.61057682451438,4.89042908962816,5.18803193249955,4.88996225686504
"48","Alabama.1992.Male",71.5101691980951,71.6546223806809,71.8050518107365,71.6555484369674,64.532721581604,64.8049092971808,65.0837534840868,64.8020364538415,6.53961749448156,6.85240238957261,7.15095816319555,6.85351198312587
"49","Alabama.1993.Female",78.7333134180922,78.8780142961313,79.0179345253798,78.8775220010518,74.0480198830837,74.3118106620582,74.5741729394778,74.3126680716206,4.2675647596663,4.56088272793372,4.86640849221284,4.56485392943111
"50","Alabama.1993.Male",71.6286821178762,71.7910571863359,71.9331051933433,71.7861986409103,64.6890790925198,64.9476945421169,65.2246520040717,64.952817921283,6.50384081086957,6.8321769895343,7.13217355024923,6.83338071962725
"51","Alabama.1994.Female",78.7673765157282,78.8975266000299,79.0344098086415,78.8987523515003,74.2248971091202,74.4826098865351,74.7371095235419,74.4807696447658,4.13595972683034,4.41455247986698,4.70244862978775,4.41798270673453
"52","Alabama.1994.Male",71.7404491479138,71.887353565473,72.0363610163736,71.8866562621288,64.7861502694134,65.0681562430315,65.3388898632198,65.0701448885429,6.51039680162531,6.81975174253822,7.11643821818008,6.81651137358586
"53","Alabama.1995.Female",78.7235956461353,78.8520161773079,78.9994658772887,78.8538545968558,74.3314685681333,74.5929307443729,74.8414471670682,74.592285303238,3.98077273198515,4.26440934489133,4.53965016162002,4.26156929361781
"54","Alabama.1995.Male",71.7852624909149,71.9413533735617,72.0796785147123,71.9381703945043,64.9398899602722,65.1976231011275,65.4566695960063,65.1999119693677,6.43601802817671,6.73799065304178,7.0397072748356,6.73825842513657
"55","Alabama.1996.Female",78.6917137248967,78.8343811039245,78.979877474222,78.8366673375653,74.3921939084738,74.6501802464079,74.915017713281,74.647125091451,3.88888065454468,4.1912820164041,4.4962607121317,4.1895422461143
"56","Alabama.1996.Male",71.8456811316918,72.0072501311261,72.1553237710593,72.0043146230603,65.2460524827229,65.5006552147559,65.7466253139992,65.5023259709057,6.21703724963238,6.50219917709565,6.79183383231946,6.50198865215463
"57","Alabama.1997.Female",78.607735460738,78.7458712185689,78.8778904663478,78.743589469976,74.4727231910267,74.7191814164918,74.9823467474898,74.7247449164079,3.72285036202054,4.02458946598579,4.29811951062597,4.01884455356804
"58","Alabama.1997.Male",72.0358585869579,72.1758167545173,72.310786510106,72.173645887674,65.6564411613743,65.8880806358089,66.1659895225735,65.891227933862,5.98573318526057,6.27977306021211,6.55922073435398,6.28241795381198
"59","Alabama.1998.Female",78.5071245034062,78.651052706168,78.7827585151809,78.6505129326987,74.4024429440796,74.6519112435945,74.8962302099372,74.6557695714589,3.7166435400585,3.99621036309468,4.28623997529908,3.99474336123979
"60","Alabama.1998.Male",72.1444320282624,72.2911800160224,72.4395806734207,72.2904866718843,65.9814262678619,66.2373696981326,66.4910568814675,66.2381367770914,5.74980320607217,6.04891475948116,6.34589691813057,6.05234989479282
"61","Alabama.1999.Female",78.4126167153684,78.5480521480679,78.6687730614191,78.545717521084,74.4692358163656,74.7267946610311,74.9694635267085,74.7254726366458,3.56362083275067,3.81996823678114,4.10699925531177,3.82024488443823
"62","Alabama.1999.Male",72.2568244191352,72.4080872672955,72.5415579415412,72.4074617706568,66.1962968320211,66.439371242476,66.6859834969728,66.4380446237415,5.68180286770723,5.96712503460751,6.25776991223329,5.9694171469153
"63","Alabama.2000.Female",78.3818201706724,78.5149509330309,78.6361449295019,78.5141475107849,74.5251405107428,74.7704365700988,75.007049362586,74.768266149313,3.46027055300124,3.75254648855481,4.01294077038334,3.74588136147197
"64","Alabama.2000.Male",72.3357552763251,72.4807307021524,72.6272545585218,72.4803946340486,66.4535447863191,66.7028967619373,66.9632024341291,66.7066672657077,5.47567614567657,5.77740566503453,6.05546476106149,5.77372736834097
"65","Alabama.2001.Female",78.3198260282042,78.4489273258081,78.5613901816502,78.4477171632145,74.5488138358348,74.780819592786,75.0168222111195,74.782151553964,3.40146315536849,3.66335402612714,3.92700583468298,3.66556560925053
"66","Alabama.2001.Male",72.4932995999386,72.6332394179644,72.7694725008507,72.6296707217351,66.6867362931902,66.9336581142265,67.2041514612884,66.9363686932216,5.40250698915433,5.69265956678505,5.98438491948181,5.69330202851353
"67","Alabama.2002.Female",78.2191754498886,78.3407290494481,78.4699797729876,78.3425268404649,74.4685535781175,74.7101397145748,74.9302050123128,74.7102591306495,3.37032724121381,3.63147768643565,3.89748699754022,3.63226770981543
"68","Alabama.2002.Male",72.5139012995404,72.6633923613717,72.8067752452205,72.662533861816,66.905360819516,67.1510628862692,67.3936535078529,67.1496388594537,5.24311438280585,5.50793096448167,5.78138294052298,5.51289500236227
"69","Alabama.2003.Female",78.1205718270434,78.2543484715979,78.3837679201439,78.255376969898,74.5755285949627,74.8022230927042,75.0280706095577,74.802812999342,3.18425136949664,3.45261707294095,3.70216660269178,3.45256397055603
"70","Alabama.2003.Male",72.5570404036632,72.7177889430841,72.8580754827936,72.712776543819,67.0203161952512,67.2673897654432,67.5119445873176,67.2682970833051,5.14646668269051,5.44414725322933,5.72959753825223,5.44447946051382
"71","Alabama.2004.Female",78.2344654974559,78.3563100397725,78.4900195044756,78.355706166429,74.7308979546357,74.9523806991865,75.1711920222121,74.9521155562691,3.15797768490509,3.40163622572459,3.66399136238909,3.40359061015989
"72","Alabama.2004.Male",72.6388175901357,72.7764415490707,72.9207494173326,72.7760991194285,67.2037741895307,67.4537133991492,67.6866101266043,67.4509825313399,5.01626255492867,5.32453815178827,5.60807753684643,5.32511658808858
"73","Alabama.2005.Female",78.1366230802182,78.2724260435608,78.3906085117147,78.2716620124823,74.8865363418203,75.1282143126686,75.3594684405462,75.128733419749,2.89084347330409,3.14528859148962,3.41970767161856,3.14292859273332
"74","Alabama.2005.Male",72.7178945163195,72.8558909980926,73.002851361497,72.8564414434245,67.3478676779192,67.5882126749433,67.8364146536253,67.5874575518889,4.98986116225614,5.26835423529634,5.54834597664943,5.26898389153564
"75","Alabama.2006.Female",78.3077807736269,78.4340614341016,78.5651257234069,78.4351826074726,75.1586335238673,75.3860246310315,75.5990231710987,75.3844548757348,2.7917423336865,3.05072668311707,3.3222546969215,3.0507277317378
"76","Alabama.2006.Male",72.7779726881186,72.9198498425492,73.0775341769032,72.9222650735556,67.5442157716562,67.7679214180407,68.0169790240085,67.7750720039427,4.84878394763543,5.15398088524336,5.4269559099092,5.14719306961289
"77","Alabama.2007.Female",78.4165869377313,78.5409983456649,78.674560525539,78.5423596812776,75.4422102281509,75.6816576765852,75.8972166890883,75.6845533625405,2.58119180452256,2.86006312742258,3.11681706254126,2.85780631873718
"78","Alabama.2007.Male",72.8563479860715,73.0004972717022,73.1601916107617,73.0020790645355,67.8930500833213,68.1231010086373,68.3702348872588,68.127419291277,4.58597621731477,4.87425093236489,5.16258213182188,4.87465977325848
"79","Alabama.2008.Female",78.3401029017028,78.4759016281213,78.6070726971339,78.4753320160557,75.7401136826201,75.9633547948147,76.2012211710977,75.9637441405969,2.25032606566851,2.51165862880658,2.77197267226056,2.51158787545881
"80","Alabama.2008.Male",73.0072966016461,73.1585905523384,73.3034294284732,73.158608568074,68.2424316219576,68.4861806613474,68.7218825108541,68.4833096516495,4.40138232551939,4.66909708963435,4.9677697841702,4.67529891642452
"81","Alabama.2009.Female",78.5058594307124,78.6343301674242,78.7758761422286,78.635638964221,76.0283636721985,76.2543481006938,76.4781987587083,76.2544264080518,2.11289980675404,2.38579227298069,2.63683579373982,2.38121255616914
"82","Alabama.2009.Male",73.1708481179523,73.3106980191134,73.4526320361763,73.3135911134766,68.6332984395617,68.8838669421837,69.1249688151965,68.8860308005802,4.1501199660636,4.42826734690956,4.73320886690221,4.42756031289648
"83","Alabama.2010.Female",78.5036011863143,78.6318554806334,78.7665073472717,78.6346951355617,76.1672930614985,76.3910342418439,76.6158556286123,76.3919633869463,1.97567803153361,2.24500130615291,2.51692235424917,2.24273174861533
"84","Alabama.2010.Male",73.2441391690245,73.3867786620799,73.5353978832911,73.386805789854,68.9961063775948,69.2424794415808,69.469670930161,69.2404320890143,3.85627164298461,4.14446004090212,4.43257029189154,4.14637370083968
"85","Alabama.2011.Female",78.5015562199525,78.6288527912271,78.7762830738491,78.6308310080081,76.3530652713509,76.5829092839666,76.826440537592,76.5830377889791,1.77899037745428,2.05070308672071,2.3184745962928,2.04779321902905
"86","Alabama.2011.Male",73.2719152186807,73.414298420634,73.562715372668,73.4145773612114,69.1109334110458,69.3552955724015,69.6069393515974,69.3563687149469,3.77631128146899,4.05569185232702,4.35243084754057,4.05820864626448
"87","Alabama.2012.Female",78.4384628444062,78.5762360445512,78.7336551989584,78.5762947964322,76.4507236288197,76.6811866749381,76.912968685459,76.6824064927037,1.62578532296691,1.89630154812883,2.1827653183018,1.89388830372857
"88","Alabama.2012.Male",73.3181388429311,73.4598834887162,73.6152679639269,73.46322594668,69.2507232502888,69.5095423918513,69.7522631443547,69.507828069549,3.68311105406982,3.95001001817877,4.25486085530273,3.95539787713099
"89","Alabama.2013.Female",78.5329328471733,78.679125269801,78.8440159161271,78.680749280059,76.4977926668723,76.771067690773,77.0596834582269,76.7772821289425,1.58698556238094,1.90783330987316,2.21592651593659,1.9034671511165
"90","Alabama.2013.Male",73.1793749091886,73.3387612262542,73.5125392558455,73.3391457487648,69.2071508077938,69.512732052231,69.7886497830734,69.5092115941275,3.50698324031613,3.82426914345043,4.18237651383932,3.82993415463727
